question,summary_answer,difficulty,intent,filename
required datasets for data drift,"To evaluate drift, you need two datasets: a reference and a current dataset, ensuring columns are non-empty before testing.",beginner,text,metrics/explainer_drift.mdx
how to handle empty values in data drift,"The article explains that empty or infinite values are filtered out during calculations, and drift tests don't react to changes in the number of empty values.",intermediate,text,metrics/explainer_drift.mdx
examples of drift detection methods,"Evidently offers multiple methods like Kolmogorov-Smirnov, chi-squared, and Jensen-Shannon divergence for detecting different types of drift based on data size and column type.",intermediate,code,metrics/explainer_drift.mdx
drift score and thresholds explained,"The drift score represents the statistical significance of drift detection, with different thresholds and metrics used depending on data size and type to assess drift.",intermediate,text,metrics/explainer_drift.mdx
detecting dataset-level drift,You can declare dataset-level drift if a certain percentage of features are detected as drifted by using Evidently's presets like DatasetDriftPreset.,advanced,code,metrics/explainer_drift.mdx
ROC AUC for text data drift detection,"The article explains how text data drift is detected using a domain classifier, assessing the ROC AUC score against set thresholds to determine drift.",advanced,code,metrics/explainer_drift.mdx
Recall at K definition for recommender systems,"The article explains that Recall at K measures the proportion of relevant items retrieved within the top K results, evaluating the effectiveness of recommender systems.",beginner,text,metrics/explainer_recsys.mdx
How to compute precision at K in ranking,"Precision at K is computed by determining the share of relevant items within the top K results, as discussed in the article, which includes methods for calculating it by user and overall.",beginner,code,metrics/explainer_recsys.mdx
F Beta score calculation for ranking,"The article details how to calculate the F Beta score, which combines precision and recall into a single metric, emphasizing its function in evaluating system performance.",intermediate,code,metrics/explainer_recsys.mdx
Understanding MAP metric in recommendations,Mean Average Precision (MAP) assesses how well a system suggests relevant items within the top-K results while penalizing the positions of relevant items lower in the ranking.,intermediate,text,metrics/explainer_recsys.mdx
What is NDCG and its importance,"NDCG (Normalized Discounted Cumulative Gain) measures the ranking quality of a system, highlighting its effectiveness in placing relevant items at the top of results, explained in depth in the article.",beginner,text,metrics/explainer_recsys.mdx
Implementing MAR in recommendation systems,"The article outlines how to compute Mean Average Recall (MAR), which evaluates the system's ability to retrieve all relevant items, averaged by all relevant positions in the ranking.",intermediate,code,metrics/explainer_recsys.mdx
Hit Rate in user recommendations,"Hit Rate indicates the fraction of users for whom at least one relevant item is included in the top K recommendations, emphasizing its relevance in measuring user satisfaction.",beginner,text,metrics/explainer_recsys.mdx
Mean Reciprocal Rank (MRR) calculation steps,"MRR is calculated by finding the position of the first relevant item for each user and averaging the reciprocal ranks, a method discussed in the article for evaluating ranking quality.",intermediate,code,metrics/explainer_recsys.mdx
Difference between precision and recall,"The article distinguishes between precision, which focuses on relevant items in the top K, and recall, which measures the retrieval of all relevant items, highlighting their complementary roles in evaluations.",advanced,text,metrics/explainer_recsys.mdx
Entropy score distribution in recommender systems,"Entropy measures the unpredictability in score distribution for recommended items, as explained in the article, and is computed using softmax transformation and KL divergence.",advanced,code,metrics/explainer_recsys.mdx
regression metrics overview,"The article provides an overview of open-source regression metrics such as Mean Error, Mean Absolute Error, and Mean Absolute Percentage Error.",beginner,text,metrics/explainer_regression.mdx
Mean Absolute Percentage Error example,It explains how to calculate Mean Absolute Percentage Error (MAPE) and provides examples for understanding its significance in model evaluation.,beginner,code,metrics/explainer_regression.mdx
how to interpret predicted vs actual scatter plot,The article discusses the predicted vs actual scatter plot as a tool for visually assessing model accuracy and identifying potential areas for improvement.,intermediate,text,metrics/explainer_regression.mdx
error distribution visualization in regression,"It covers how error distribution visualizations can reveal the spread and concentration of model errors, aiding in performance analysis.",intermediate,code,metrics/explainer_regression.mdx
calculate mean absolute error in Python,The article includes Python code snippets to demonstrate how to calculate the Mean Absolute Error (MAE) for regression modeling.,intermediate,code,metrics/explainer_regression.mdx
understanding Mean Error per group,"It explains the Mean Error metrics calculated per segment of predictions, specifically focusing on overestimation and underestimation groups.",advanced,text,metrics/explainer_regression.mdx
error normality quantile plot,The article details how to create and interpret a quantile-quantile (Q-Q) plot to assess the normality of model errors.,advanced,code,metrics/explainer_regression.mdx
absolute percentage error calculation,It provides a step-by-step guide on calculating the Absolute Percentage Error (APE) and its importance in regression analysis.,beginner,code,metrics/explainer_regression.mdx
visualizing predictions per feature,The article outlines methods for visualizing predicted vs actual values per feature to analyze feature impact on model performance.,intermediate,text,metrics/explainer_regression.mdx
classification preset implementation example,The article provides code examples on how to implement the `ClassificationPreset` using the Report class to evaluate performance on datasets.,beginner,code,metrics/preset_classification.mdx
how to visualize classification metrics,"It explains various metrics and visualizations available in the `ClassificationPreset`, such as confusion matrices and ROC curves, to help assess classification model performance.",intermediate,text,metrics/preset_classification.mdx
customizing classification report conditions,"The article describes how to modify test conditions and report composition, allowing users to tailor the evaluation approach based on specific needs or data characteristics.",advanced,code,metrics/preset_classification.mdx
data drift preset overview,"The article provides an overview of the Data Drift Preset, explaining how it evaluates shifts in data distribution between current and reference datasets.",beginner,text,metrics/preset_data_drift.mdx
how to run data drift report,"To run a Data Drift report, you can use the Report class with DataDriftPreset and compare the current data with reference data in Python.",beginner,code,metrics/preset_data_drift.mdx
data drift detection methods,"The article discusses various drift detection methods available in the Data Drift Preset, including PSI, K-L divergence, and others based on the column type.",intermediate,text,metrics/preset_data_drift.mdx
customize data drift report in Python,"You can customize the Data Drift report by selecting specific columns, changing drift detection methods, adjusting thresholds, and adding additional metrics.",intermediate,code,metrics/preset_data_drift.mdx
best practices for monitoring data drift,"The article suggests monitoring for data drift to maintain model performance, especially in scenarios where ground truth labels are absent, via proxy metrics.",advanced,text,metrics/preset_data_drift.mdx
DataSummaryPreset usage example,The article provides a Python code snippet demonstrating how to run a `DataSummaryPreset` on a dataset for generating descriptive statistics and visualizations.,beginner,code,metrics/preset_data_summary.mdx
How to compare datasets with DataSummaryPreset,"You can pass two datasets to the `DataSummaryPreset` for a side-by-side comparison of descriptive statistics and data quality tests, detailed in the article.",intermediate,text,metrics/preset_data_summary.mdx
Customizing reports in DataSummaryPreset,"The document outlines various report customization options such as selecting specific columns, adding metrics, and modifying test conditions for tailored insights.",advanced,code,metrics/preset_data_summary.mdx
recommender systems overview,"The article provides an overview of the Recommender Systems Preset available in the Evidently API, explaining how it evaluates the quality of recommendations using various metrics and tests.",beginner,text,metrics/preset_recsys.mdx
setting up RecsysPreset with Python,"Instructions for setting up the `RecsysPreset` using Python are included, demonstrating how to run the report and evaluate recommendations with specific parameters like `k`.",beginner,code,metrics/preset_recsys.mdx
customizing report conditions Recsys,"The article explains how to customize report conditions in the Recommender Systems Preset, allowing users to modify test conditions and add metrics for deeper analysis.",intermediate,code,metrics/preset_recsys.mdx
regression quality preset overview,"The article explains the Regression Quality Preset, detailing its purpose in evaluating and visualizing regression performance metrics like MAE, MSE, and RMSE.",beginner,text,metrics/preset_regression.mdx
how to run report with regression preset,It provides a code example for running a report with the RegressionPreset on a current dataset using Python.,beginner,code,metrics/preset_regression.mdx
customize regression report settings,"The article outlines ways to customize regression report settings, such as changing test conditions and adding additional metrics to the report.",intermediate,code,metrics/preset_regression.mdx
Text Evals Preset usage example,The article provides an example of how to utilize the Text Evals Preset to run reports on a dataset using computed descriptors for text evaluations.,beginner,code,metrics/preset_text_evals.mdx
How to compare two datasets in Text Evals,"You can compare two datasets in Text Evals by passing them to the report runner, which allows for side-by-side evaluation results with relevant statistics.",intermediate,code,metrics/preset_text_evals.mdx
Understanding descriptors in Text Evals,Descriptors are crucial for the Text Evals Preset as they summarize the evaluations of text data; detailed explanations on how to compute them are provided in the article.,beginner,text,metrics/preset_text_evals.mdx
LLM evaluation guide,"This article offers a comprehensive guide on how to evaluate text outputs from LLMs, including setup and running evaluations in Python using Evidently.",beginner,text,quickstart_llm.mdx
install Evidently library,Instructions for installing the Evidently Python library are provided to help users set up their environment for LLM evaluations.,beginner,code,quickstart_llm.mdx
set up Evidently Cloud,The article explains how to set up Evidently Cloud for those who want a fully online experience for LLM evaluations.,beginner,code,quickstart_llm.mdx
create project in Evidently,"Step-by-step guidance is given on how to create a project in Evidently, which is essential for organizing your evaluations.",intermediate,code,quickstart_llm.mdx
prepare dataset for LLM evaluation,"The article demonstrates how to prepare a dataset for evaluating LLM outputs, using a toy demo example to illustrate the process.",beginner,code,quickstart_llm.mdx
run LLM evaluation with descriptors,Users are instructed on how to run evaluations using descriptors like sentiment and text length to analyze LLM responses effectively.,intermediate,code,quickstart_llm.mdx
generate evaluation reports in Python,"Instructions are included on generating evaluation reports in Python, which summarize the evaluation results for analysis.",intermediate,code,quickstart_llm.mdx
add test conditions for LLM results,The article discusses how to incorporate test conditions into LLM evaluations to assess outputs against specific criteria.,advanced,code,quickstart_llm.mdx
custom LLM judges for evaluations,It explains how to create custom LLM judges for evaluations using criteria tailored to specific applications or domains.,advanced,code,quickstart_llm.mdx
data drift evaluation with Evidently,The article explains how to evaluate data drift using Evidently by comparing production and reference datasets to detect changes in data distributions.,beginner,code,quickstart_ml.mdx
Evidently setup for ML checks,Includes steps for setting up Evidently Cloud and installing necessary libraries to perform data evaluations in machine learning.,beginner,code,quickstart_ml.mdx
preparing datasets for data drift,"Discusses how to prepare toy datasets for evaluation, including splitting data and defining the schema for analysis.",intermediate,code,quickstart_ml.mdx
Evidently dashboard tracking,Explains how to create dashboards to monitor data drift over time and visualize metrics related to model performance.,intermediate,code,quickstart_ml.mdx
checking prediction accuracy with Evidently,"Details how to evaluate prediction quality and monitor for changes using Evidently's tools, including examples of code implementation.",advanced,code,quickstart_ml.mdx
concept of data drift in ML,"The article introduces the concept of data drift, how it affects machine learning models, and the importance of evaluating it regularly.",beginner,text,quickstart_ml.mdx
setup tracing for LLM app,"The article provides a step-by-step guide on how to set up tracing for an LLM application, including installation and configuration instructions.",beginner,code,quickstart_tracing.mdx
Evidently Cloud overview,It discusses how to utilize the Evidently Cloud platform for viewing and managing traces collected from LLM apps.,beginner,text,quickstart_tracing.mdx
trace event implementation example,The article includes code examples on how to create trace events using the Tracely library to capture inputs and outputs from an LLM.,intermediate,code,quickstart_tracing.mdx
installing Evidently and Tracely,It explains the commands required to install the Evidently and Tracely libraries necessary for tracing in LLM applications.,beginner,code,quickstart_tracing.mdx
advanced tracing configurations,"For advanced users, the article provides specific configurations for initializing tracing and evaluating trace data, making it suitable for customized LLM applications.",advanced,text,quickstart_tracing.mdx
adversarial testing dataset creation,"The article outlines the steps to create an adversarial test dataset in Evidently Cloud, including project setup, scenario selection, and dataset configuration.",beginner,code,synthetic-data/adversarial_data.mdx
automate adversarial test generation Evidently,"The article explains how to automate the generation of adversarial tests based on predefined risk categories using Evidently Cloud, enhancing AI model robustness.",intermediate,text,synthetic-data/adversarial_data.mdx
generate synthetic test inputs for AI,The article explains how to generate synthetic test inputs by defining specific scenarios and describing the types of queries needed for testing AI systems.,beginner,code,synthetic-data/input_data.mdx
generate synthetic test data examples,"The article explains how to generate synthetic test inputs and outputs for evaluating AI systems, including examples for different testing scenarios.",beginner,code,synthetic-data/introduction.mdx
create RAG evaluation dataset steps,"The article outlines a process to create a RAG evaluation dataset using the Evidently UI, which involves starting a project, uploading your knowledge base, generating test cases, and saving the dataset.",beginner,code,synthetic-data/rag_data.mdx
when to use synthetic data for AI testing,"The article highlights scenarios where synthetic data is essential, such as starting without real data, scaling datasets, and testing specific edge cases.",beginner,text,synthetic-data/why_synthetic.mdx
generate synthetic data examples for LLM evaluation,"The article explains how synthetic data can be generated to create structured test cases, especially for complex AI systems like RAG, providing variations and filling gaps in existing datasets.",intermediate,code,synthetic-data/why_synthetic.mdx
